INDEX_ nUMBER,Firstquiz,Secondquiz,ATTENDANCE_Cs,Firsttotal, Finaltotal
PS/ITC/22/0001 ,15,16,8,39,31.2
PS/ITC/22/0002,13,11,6,30,24
PS/ITC/22/0003,7,15,10,32,25.6
PS/ITC/22/0004,13,14,8,35,28
PS/ITC/22/0005,16,15,6,37,29.6
PS/ITC/22/0006,9,11,8,28,22.4
PS/ITC/22/0007,13,14,8,35,28
PS/ITC/22/0008,14,12,6,32,25.6
PS/ITC/22/0009,16,14,10,40,32
PS/ITC/22/0010,17,17,0,34,27.2
PS/ITC/22/0011,17,16,10,43,34.4
PS/ITC/22/0012,12,16,6,34,27.2
PS/ITC/22/0013,14,14,10,38,30.4
PS/ITC/22/0014,8,12,4,24,19.2
PS/ITC/22/0015,10,11,6,27,21.6
PS/ITC/22/0016,18,17,10,45,36
PS/ITC/22/0017,10,17,2,29,23.2
PS/ITC/22/0018,12,14,8,34,27.2
PS/ITC/22/0019,11,15,6,32,25.6
PS/ITC/22/0020,18,17,10,45,36
PS/ITC/22/0021,17,17,10,44,35.2
PS/ITC/22/0022,11,,0,11,8.8
PS/ITC/22/0023,14,17,8,39,31.2
PS/ITC/22/0024,9,7.5,0,16.5,13.2
PS/ITC/22/0025,11,14,10,35,28
PS/ITC/22/0026,9,15.5,4,28.5,22.8
PS/ITC/22/0027,18,17,2,37,29.6
PS/ITC/22/0028,12,13,10,35,28
PS/ITC/22/0029,11,4.5,0,15.5,12.4
PS/ITC/22/0030,7,11,10,28,22.4
PS/ITC/22/0031,18,8,4,30,24
PS/ITC/22/0032,15,18,6,39,31.2
PS/ITC/22/0033,16,15,10,41,32.8
PS/ITC/22/0034,18,18,8,44,35.2
PS/ITC/22/0035,9,11,10,30,24
PS/ITC/22/0036,15,14,10,39,31.2
PS/ITC/22/0037,16,15,10,41,32.8
PS/ITC/22/0038,13,18,8,39,31.2
PS/ITC/22/0039,15,16,10,41,32.8
PS/ITC/22/0040,16,13,4,33,26.4
PS/ITC/22/0041,13,9,6,28,22.4
PS/ITC/22/0042,5,9,6,20,16
PS/ITC/22/0043,15,13,6,34,27.2
PS/ITC/22/0044,15,14,10,39,31.2
PS/ITC/22/0045,,,,0,0
PS/ITC/22/0046,8,13,6,27,21.6
PS/ITC/22/0047,17,12.5,10,39.5,31.6
PS/ITC/22/0048,13,16,6,35,28
PS/ITC/22/0049,11,14,4,29,23.2
PS/ITC/22/0050,12,13,10,35,28
PS/ITC/22/0051,16,17,10,43,34.4
PS/ITC/22/0052,14,,2,16,12.8
PS/ITC/22/0053,11,9,8,28,22.4
PS/ITC/22/0054,,,4,4,3.2
PS/ITC/22/0055,18,13,10,41,32.8
PS/ITC/22/0056,12,15.5,10,37.5,30
PS/ITC/22/0057,,,,0,0
PS/ITC/22/0058,8,13,4,25,20
PS/ITC/22/0059,15,18,4,37,29.6
PS/ITC/22/0060,6,8,4,18,14.4
PS/ITC/22/0061,11,15,10,36,28.8
PS/ITC/22/0062,7,15,4,26,20.8
PS/ITC/22/0063,12,8,6,26,20.8
PS/ITC/22/0064,15,14.5,10,39.5,31.6
PS/ITC/22/0065,9,10,6,25,20
PS/ITC/22/0066,18,17,10,45,36
PS/ITC/22/0067,9,11,8,28,22.4
PS/ITC/22/0068,12,13,2,27,21.6
PS/ITC/22/0069,13,14,2,29,23.2
PS/ITC/22/0070,15,15,4,34,27.2
PS/ITC/22/0071,16,17,10,43,34.4
PS/ITC/22/0072,7,15,10,32,25.6
PS/ITC/22/0073,15,15,10,40,32
PS/ITC/22/0074,9,11,6,26,20.8
PS/ITC/22/0075,16,18,8,42,33.6
PS/ITC/22/0076,16,16,10,42,33.6
PS/ITC/22/0077,12,15,8,35,28
PS/ITC/22/0078,15,15,10,40,32
PS/ITC/22/0079,11,11,10,32,25.6
PS/ITC/22/0080,,,,0,0
PS/ITC/22/0081,14,13,6,33,26.4
PS/ITC/22/0082,9,,8,17,13.6
PS/ITC/22/0083,16,17,10,43,34.4
